producto_id,nombre,cantidad,precio_unitario,descuento_pct,total,fecha
P001,Laptop,1,800.0,0.0,800.0,2024-01-15 09:15:23
P002,Mouse,15,25.0,5.0,356.25,2024-01-15 09:45:30
P003,Teclado,5,75.0,0.0,375.0,2024-01-15 10:20:15
P004,Monitor,2,300.0,0.0,600.0,2024-01-15 10:55:42
P005,Headphones,12,120.0,5.0,1368.0,2024-01-15 11:30:08
P002,Mouse,8,25.0,0.0,200.0,2024-01-15 12:15:33
P001,Laptop,1,800.0,0.0,800.0,2024-01-15 13:05:47
P003,Teclado,10,75.0,5.0,712.5,2024-01-15 13:40:21
P004,Monitor,3,300.0,0.0,900.0,2024-01-15 14:25:58
P002,Mouse,20,25.0,5.0,475.0,2024-01-15 15:10:14
P005,Headphones,5,120.0,0.0,600.0,2024-01-15 15:45:29
P003,Teclado,7,75.0,0.0,525.0,2024-01-15 16:30:06
